item_id,item_type,title,organization,status,last_checked,geography,eligible_users,project_stage,topic_tags,support_type,amount_or_cost,match_or_cost,deadline_or_availability,summary,why_it_matters
RERC-FND-0006,Funding,Forever Wild Land Trust Tract Nomination and Acquisition,Forever Wild Land Trust and Alabama Department of Conservation and Natural Resources,Open when checked,2026-06-09,Alabama,"Landowners, local governments, conservation partners, and public nominators",Mixed,land conservation; public access; outdoor recreation; stewardship,Grant,Fair-market land purchase if selected; 15 percent of appraised value deposited for stewardship,See program,Rolling tract nominations; Board review process,"Creates or expands public conservation lands for hiking, paddling, hunting, biking, and rural outdoor destinations.","Creates or expands public conservation lands for hiking, paddling, hunting, biking, and rural outdoor destinations"
RERC-FND-0016,Funding,Grantmaking Programs,Alaska Conservation Foundation,Open when checked,2026-06-09,Alaska,Alaska conservation organizations and eligible partners,Mixed,conservation; wildlife; environmental stewardship; grassroots capacity,Grant,Varies by program,Not stated,"Cycles vary by Rapid Response, Discovery, Watchable Wildlife, and other programs",Conservation capacity and wildlife stewardship directly support nature-based tourism and outdoor recreation assets.,Conservation capacity and wildlife stewardship directly support nature-based tourism and outdoor recreation assets
RERC-FND-0018,Funding,Land and Water Conservation Fund,Alaska DNR Division of Parks and Outdoor Recreation,Recurring,2026-06-09,Alaska,Local; regional; state entities with legal authority for outdoor recreation,Mixed,parks; outdoor recreation; acquisition; facilities,Grant,Varies,Unsure,Application period 2026-08-14 to 2026-10-31,Funds parks and recreation facilities that serve residents and visitors.,Funds parks and recreation facilities that serve residents and visitors
RERC-FND-0013,Funding,DEC Brownfields Assessment and Cleanup Program,Alaska Department of Environmental Conservation,Recurring,2026-06-09,Alaska,"public, quasi-public or non-profit entities such as municipalities, tribal governments, native corporations and community development organizations",Planning,Planning; Conservation; Brownfields; Energy/Climate,Grant,See program,See program,Check with the program,"Aid in the development of brownfields inventories, as well as conducting environmental assessments, and creating cleanup and reuse plans.",May support rural community goals related to planning and conservation. Confirm current eligibility and project fit with the program.
RERC-FND-0017,Funding,Historic Preservation Fund,Alaska Department of Natural Resources Division of Parks and Outdoor Recreation,Recurring,2026-06-09,Alaska,local governments that are certified through the Alaska State Historic Preservation Officer,Mixed,Recreation; Conservation; Historic/Cultural; Energy/Climate,Grant,See program,"Yes, 40%",Check with the program,"Helps eligible local governments identify, evaluate, and protect historic properties in Alaska.",May support rural community goals related to recreation and conservation. Confirm current eligibility and project fit with the program.
RERC-FND-0021,Funding,Recreation Trails Program,Alaska Department of Natural Resources Division of Parks and Outdoor Recreation,Recurring,2026-06-09,Alaska,"non-profit organizations, educational institutions, state, local and federal government entities, native corporations, and tribal governments",Construction,Recreation; Conservation; Energy/Climate,Grant,See program,See program,Check with the program,Develops and repairs recreational trails and trail facilities for motorized and non-motorized use.,May support rural community goals related to recreation and conservation. Confirm current eligibility and project fit with the program.
RERC-FND-0024,Funding,Snowmachine Grant Program,Alaska Department of Natural Resources Division of Parks and Outdoor Recreation,Recurring,2026-06-09,Alaska,See program,Mixed,Recreation; Conservation,Grant,See program,See program,Check with the program,Offers potential funding for eligible snowmachine recreation projects in Alaska. Check current program information for eligible work and cycle details.,May support rural community goals related to recreation and conservation. Confirm current eligibility and project fit with the program.
RERC-FND-0022,Funding,Renewable Energy Village Energy Efficiency Program,Alaska Energy Authority,Recurring,2026-06-09,Alaska,Qualified applicants for public buildings and facilities in rural Alaska,Mixed,renewable energy; energy efficiency; public facilities; cost reduction,Grant,Not stated in public notice,Not stated,"Third RFA applications due February 27, 2026","Lowers costs for rural public facilities that support recreation programming, visitor services, and community gatherings.","Lowers costs for rural public facilities that support recreation programming, visitor services, and community gatherings"
RERC-FND-0015,Funding,Energy Efficiency Revolving Loan Program for Public Facilities,Alaska Housing Finance Corporation,Open when checked,2026-06-09,Alaska,"Municipalities, state, University of Alaska, and regional educational attendance areas",Mixed,energy efficiency; public buildings; operating cost reduction,Loan,Loan financing based on investment-grade audit; amount varies,Repaid from guaranteed savings,Ongoing loan program,"Helps public recreation, community, and visitor-serving facilities reduce energy burdens in high-cost Alaska communities.","Helps public recreation, community, and visitor-serving facilities reduce energy burdens in high-cost Alaska communities"
RERC-FND-0634,Funding,Community Challenge Grant Program,Anchorage Park Foundation with Anchorage Parks and Recreation and Rasmuson Foundation,Available,2026-06-09,Alaska,"Neighborhood volunteers, community groups, and public-land partners",Mixed,parks; trails; outdoor access; stewardship,Grant,"2026 round awarded $311,000 to 14 projects",None,Offered every two years; 2026 round closed and awarded May 2026,Funds community-led park and trail improvements that can strengthen visitor access and local recreation stewardship.,Funds community-led park and trail improvements that can strengthen visitor access and local recreation stewardship
RERC-FND-0014,Funding,EV Charging Incentive Programs,Chugach Electric Association,Open when checked,2026-06-09,Alaska,Individuals and businesses installing eligible EV charging,Mixed,EV charging; mobility; visitor infrastructure,Rebate,Bill credit; amount varies by incentive,Customer cost-share inherent,Ongoing program; 2026 public fast-charging expansion noted,"Supports EV-ready gateway corridors, trailheads, workplaces, fleets, and public charging for visitors.","Supports EV-ready gateway corridors, trailheads, workplaces, fleets, and public charging for visitors"
RERC-FND-0012,Funding,Alaska Forest Fund,National Forest Foundation with Forest Service and partners,Open when checked,2026-06-09,Alaska,"Nonprofit partners, local contractors, and rural communities adjacent to National Forests",Mixed,forest stewardship; restoration; recreation access; rural contractors,Grant,Varies,Not stated,Ongoing fund and partnership model,"Helps rural communities near national forests capture stewardship, restoration, and recreation-economy benefits.","Helps rural communities near national forests capture stewardship, restoration, and recreation-economy benefits"
RERC-FND-0020,Funding,Rasmuson Foundation Tier 1 and Community Support Grants,Rasmuson Foundation,Open when checked,2026-06-09,Alaska,Eligible Alaska organizations,Construction,capital; park improvements; equipment; community centers,Grant,"Tier 1 up to $35,000; Community Support up to $250,000",Varies,Apply today; ongoing foundation cycles,"Funds practical community assets, including park improvements and equipment.","Funds practical community assets, including park improvements and equipment"
RERC-FND-0023,Funding,Rural Alaska Community Grants,RurAL CAP Foundation,Open when checked,2026-06-09,Alaska,Rural Alaska nonprofits and governmental agencies,Mixed,rural community development; culture; leadership; well-being,Grant,Small grants; amount not stated on source page,Not stated,2026 deadlines April 30 and November 30,"Flexible small grants can close gaps for rural recreation programming, cultural tourism, volunteer projects, and community well-being.","Flexible small grants can close gaps for rural recreation programming, cultural tourism, volunteer projects, and community well-being"
RERC-FND-0025,Funding,American Samoa SSBCI 2.0,American Samoa Department of Commerce,Open when checked,2026-06-24,American Samoa,American Samoa small businesses and participating lenders or technical assistance partners listed by the program.,Implementation,SSBCI; small business; access to capital; technical assistance; entrepreneurship,Financing,"Treasury approved up to $57,000,000; technical assistance grant listed at $470,304.",See program,Check DOC and AS-SBDC materials for current borrower and lender requirements.,"Supports small business access to capital, credit support, and technical assistance in American Samoa.",May support rural community goals related to ssbci and small business. Confirm current eligibility and project fit with the program.
RERC-FND-0028,Funding,Festival Grants,Arizona Commission on the Arts,Recurring,2026-06-09,Arizona,Arizona nonprofits; local governments; tribal governments; local arts agencies,Implementation,festivals; arts; culture; marketing; accessibility,Grant,"$1,000-$5,000",No cash match required,FY2027 closed; FY2028 opens early 2027,Cultural festivals add visitor reasons beyond trails and parks.,Cultural festivals add visitor reasons beyond trails and parks
RERC-FND-0026,Funding,AZ SMART Fund,Arizona Department of Transportation,Open when checked,2026-06-09,Arizona,Cities; towns; counties; ADOT,Mixed,trails; bike-ped paths; roads; bridges; transit; federal leverage,Grant,Varies by federal grant need,Supports match for federal discretionary grants,Rolling through State Transportation Board approvals,Helps rural communities compete for larger trail and access grants.,Helps rural communities compete for larger trail and access grants
RERC-FND-0033,Funding,Play Ball Fund Grant Program,Arizona Diamondbacks Foundation and Arizona Complete Health,Open when checked,2026-06-09,Arizona,"Arizona youth teams, leagues, and organizations",Mixed,youth sports; recreation access; equipment; facility upgrades,Grant,"Up to $1,000; $90,000 total in 2026 season",None stated,"Applications considered April-September; entry closes August 31, 2026","Small but practical source for youth recreation access, local sports facilities, and community recreation programming.","Small but practical source for youth recreation access, local sports facilities, and community recreation programming"
RERC-FND-0035,Funding,State Lake Improvement Fund,Arizona State Parks Board,Recurring,2026-06-09,Arizona,Arizona Game and Fish; counties; cities; towns,Mixed,boat launches; water access; support facilities; safety,Grant,"$5,000-$1,040,000 per project",Unsure,Recurring,Helps lake-based rural destinations improve visitor infrastructure.,Helps lake-based rural destinations improve visitor infrastructure
RERC-FND-0029,Funding,Land and Water Conservation Fund,Arizona State Parks and Trails,Recurring,2026-06-09,Arizona,Cities; towns; counties; tribal governments; state and federal agencies,Mixed,parks; acquisition; playgrounds; pools; splash pads; ADA,Grant,Variable,50% typical LWCF match,Recurring state parks grant cycle,Builds public recreation facilities in rural and tribal destinations.,Builds public recreation facilities in rural and tribal destinations
RERC-FND-0030,Funding,Off-Highway Vehicle Fund Grants,Arizona State Parks and Trails,Open when checked,2026-06-09,Arizona,"Federal, state, county, and local governments, and nonprofits",Mixed,OHV trails; trail maintenance; facilities; stewardship; safety,Grant,"$4,000,000 available",Not stated on page,Current application materials posted through AZParkGrants,Funds motorized recreation infrastructure and stewardship that can drive rural visitor spending.,Funds motorized recreation infrastructure and stewardship that can drive rural visitor spending
RERC-FND-0031,Funding,Off-Highway Vehicle Recreation Fund,Arizona State Parks and Trails,Recurring,2026-06-09,Arizona,Governments; tribes; nonprofits; clubs; law enforcement for LE grants,Mixed,OHV trails; facilities; law enforcement; signage; education,Grant,"About $2M annually; small scale up to $100,000; signage up to $10,000",Unsure,Recurring,Supports managed motorized recreation in rural gateway areas.,Supports managed motorized recreation in rural gateway areas
RERC-FND-0034,Funding,Recreational Trails Program,Arizona State Parks and Trails,Open when checked,2026-06-09,Arizona,Nonprofits; clubs; local; regional; state; federal; tribal governments,Construction,motorized trails; nonmotorized trails; trailheads; accessibility; education,Grant,About $2M available statewide,Unsure,Reauthorized through federal FY2026,Direct source for trail systems that drive outdoor recreation visits.,Direct source for trail systems that drive outdoor recreation visits
RERC-FND-0027,Funding,Comunidad Grants,Community Foundation for Southern Arizona,Recurring,2026-06-09,Arizona,Eligible nonprofits and charitable organizations,Mixed,rural communities; nonprofit capacity; community benefit,Grant,Varies,Not stated,2026 grants funded in June 2026,Useful for rural southern Arizona communities needing small flexible funds for recreation-linked community projects.,Useful for rural southern Arizona communities needing small flexible funds for recreation-linked community projects
RERC-FND-0032,Funding,POWER Grants,Trico Electric Cooperative Charitable Trust,Recurring,2026-06-09,Arizona,501(c)(3) nonprofits serving significant numbers in Trico territory,Implementation,"nonprofits, education, arts, childcare, community services",Grant,"Up to $10,000 per nonprofit",No match stated,Fall 2026 opens September 2026,"Can support rural nonprofit projects tied to public spaces, youth, arts, and visitor community vitality.","Can support rural nonprofit projects tied to public spaces, youth, arts, and visitor community vitality."
RERC-FND-0039,Funding,Giving Tree Grants,Arkansas Community Foundation,Recurring,2026-06-09,Arkansas,"501(c)(3) public charities, schools, hospitals, and government agencies serving eligible counties",Mixed,local needs; nonprofit capacity; community improvement,Grant,Average grant size varies by affiliate,Not stated,"January 10-February 15, 2026 cycle listed","Flexible local grants can support recreation events, trail groups, placemaking, and small nonprofit capacity.","Flexible local grants can support recreation events, trail groups, placemaking, and small nonprofit capacity"
RERC-FND-0049,Funding,Urban and Community Forestry Grants / Free Tree Fridays,Arkansas Department of Agriculture Forestry Division,Recurring,2026-06-09,Arkansas,Local governments; community partners; residents for tree distribution,Mixed,tree planting; canopy; green infrastructure; education,Grant,Unsure,Unsure,2026 Free Tree Fridays wrapped; forestry grant program recurring,"Improves shade, downtown comfort, and trail corridor appearance.","Improves shade, downtown comfort, and trail corridor appearance"
RERC-FND-0038,Funding,FUN Park Grants,"Arkansas Department of Parks, Heritage and Tourism Office of Outdoor Recreation",Open when checked,2026-06-09,Arkansas,"Municipalities under 7,500; unincorporated communities sponsored by counties",Construction,parks; playgrounds; outdoor facilities; underserved communities,Grant,"Up to $100,000",No match,Opens 2026-05-01; due 2026-08-28,Strong fit for small RERC-type towns needing first recreation assets.,Strong fit for small RERC-type towns needing first recreation assets
RERC-FND-0040,Funding,Great Strides Program,"Arkansas Department of Parks, Heritage and Tourism Office of Outdoor Recreation",Open when checked,2026-06-09,Arkansas,Arkansas public applicants under program rules,Construction,walking trails; trail renovation; signs; markings,Grant,Unsure,Unsure,Opens 2026-03-09; due 2026-06-30,Funds walkable trail assets tied to health and recreation.,Funds walkable trail assets tied to health and recreation
RERC-FND-0044,Funding,Outdoor Recreation Matching Grants,"Arkansas Department of Parks, Heritage and Tourism Office of Outdoor Recreation",Open when checked,2026-06-09,Arkansas,Arkansas municipalities and counties,Mixed,parks; outdoor recreation facilities; land acquisition,Grant,No maximum stated,50%,Opens 2026-05-01; due 2026-08-28,"Major source for rural parks, trailheads, and recreation facilities.","Major source for rural parks, trailheads, and recreation facilities"
RERC-FND-0045,Funding,Recreational Trails Program,Arkansas Department of Transportation,Recurring,2026-06-09,Arkansas,Local public agencies and eligible sponsors,Construction,motorized trails; nonmotorized trails; trailheads; linkages,Grant,Varies,Unsure,2026 nonmotorized due 2026-04-30; motorized reviewed rolling,Direct trail funding for rural outdoor recreation economies.,Direct trail funding for rural outdoor recreation economies
RERC-FND-0048,Funding,Transportation Alternatives Program,Arkansas Department of Transportation,Recurring,2026-06-09,Arkansas,Local public agencies,Mixed,sidewalks; bike-ped infrastructure; trails; Safe Routes,Grant,Varies,Minimum 20% local,2026 applications due 2026-04-30; recurring,"Builds active transportation links between downtowns, trails, and parks.","Builds active transportation links between downtowns, trails, and parks"
RERC-FND-0046,Funding,Rural Community Grant Program,Arkansas Economic Development Commission Division of Rural Services,Recurring,2026-06-09,Arkansas,Rural Arkansas communities,Construction,community facilities; parks; recreation; museums; beautification,Grant,"Up to $15,000 typical",Local match required,FY2026 deadline was 2026-03-12; recurring,"Small gap funding for parks, museums, and civic visitor assets.","Small gap funding for parks, museums, and civic visitor assets"
RERC-FND-0635,Funding,Rural Services Block Grants,Arkansas Economic Development Commission Division of Rural Services,Available,2026-06-09,Arkansas,Rural local governments and eligible rural sponsors,Construction,community facilities; public safety; quality of life,Grant,Unsure,None,Recurring; check AEDC deadlines calendar,Helps small towns cover practical facility gaps around recreation growth.,Helps small towns cover practical facility gaps around recreation growth
RERC-FND-0036,Funding,Community Grant Program,Arkansas Farm Bureau Foundation,Recurring,2026-06-09,Arkansas,Arkansas nonprofits and tax-exempt entities,Implementation,rural communities; agriculture; community ties,Grant,Not stated on source page,Not stated,"2025-2026 applications opened November 3, 2025 and closed January 15, 2026; funding issued by March 31, 2026","Rural community grants can support local amenities, fairs, agri-tourism links, and recreation-adjacent community projects.","Rural community grants can support local amenities, fairs, agri-tourism links, and recreation-adjacent community projects"
RERC-FND-0037,Funding,Entergy Solutions for Arkansas Businesses,Entergy Arkansas,Open when checked,2026-06-09,Arkansas,"Entergy Arkansas business customers, including small businesses and agricultural facilities",Mixed,energy efficiency; small business; agricultural business; facility upgrades,Rebate,Incentives vary by measure and program,Customer cost-share inherent,Ongoing business programs,"Reduces operating costs for outfitters, lodging, food service, visitor centers, and recreation facilities.","Reduces operating costs for outfitters, lodging, food service, visitor centers, and recreation facilities"
RERC-FND-0047,Funding,Small Business Energy Solutions,Entergy Arkansas,Open when checked,2026-06-09,Arkansas,Entergy Arkansas small business customers under 100 kW peak demand,Mixed,"lighting, refrigeration, HVAC, insulation, small business",Rebate,$0.20-$0.35 per kWh saved; some direct install at full cost,Customer share varies,Ongoing program year,Rural downtown businesses and visitor-serving shops can improve comfort and cut bills.,Rural downtown businesses and visitor-serving shops can improve comfort and cut bills.
RERC-FND-0041,Funding,Green Networks Subawards,Metroplan,Cycle closed,2026-07-13,Arkansas,"Municipalities, counties, and nonprofit partners",Mixed,land preservation; land restoration; tree planting; green networks,Grant,$15.5 million subaward pool; Round 2 awarded $5.9 million,Varies by subaward,The listed funding rounds have been awarded; watch for a future round.,"Green networks, restored land, and tree planting improve outdoor access, trails, and recreation-quality landscapes.","Green networks, restored land, and tree planting improve outdoor access, trails, and recreation-quality landscapes"
RERC-FND-0042,Funding,Home Region Grants,Walton Family Foundation,Recurring,2026-06-09,Arkansas,Nonprofits and public partners aligned with foundation priorities,Mixed,trails; public space; conservation; economic opportunity; placemaking,Grant,Varies,Varies,Rolling or invitation-based foundation cycles,"Major private funder for trail, public realm, and regional recreation systems.","Major private funder for trail, public realm, and regional recreation systems"
RERC-FND-0043,Funding,Home Region and Design Excellence Grants,Walton Family Foundation,Open when checked,2026-06-09,Arkansas,"Invited nonprofit, government, and partner organizations; unsolicited proposals not accepted",Mixed,Northwest Arkansas; Mississippi Delta; design; community systems; rivers,Grant,Varies,Not stated,Ongoing strategic grantmaking; no unsolicited cycle,"Major regional funder for trails, public realm, design quality, conservation, and recreation-economy systems in Northwest Arkansas.","Major regional funder for trails, public realm, design quality, conservation, and recreation-economy systems in Northwest Arkansas"
RERC-FND-0056,Funding,Grants Program,California Arts Council,Recurring,2026-06-09,California,varies by grant,Mixed,Historic/Cultural; Energy/Climate,Grant,"Up to $75,000",varies by grant,Check with the program,"Ensure every Californian has the opportunity to create, participate, and flourish through the power of artistic expression.",May support rural community goals related to historic and cultural and energy and climate. Confirm current eligibility and project fit with the program.
RERC-FND-0055,Funding,"Funding, Grants, Easements",California Department of Conservation,Recurring,2026-06-09,California,varies by grant,Mixed,Conservation,Grant,varies by grant,varies by grant,Check with the program,"Lists funding, grants, and easement programs that help conserve California agricultural land.",May support rural community goals related to conservation. Confirm current eligibility and project fit with the program.
RERC-FND-0057,Funding,Grants Program,California Department of FIsh and WIldlife,Recurring,2026-06-09,California,varies by grant,Mixed,General Community Development,Grant,varies by grant,varies by grant,Check with the program,"Offers potential funding related to general community development. Check current program information for eligible applicants, activities, and timing.",May support rural community goals related to general community development. Confirm current eligibility and project fit with the program.
RERC-FND-0053,Funding,Division of Boating and Waterways,California Department of Parks and Recreation,Recurring,2026-06-09,California,varies by grant,Construction,Infrastructure; Recreation,Grant,varies by grant,varies by grant,Check with the program,"Enhance recreational boating infrastructure and safety statewide from Mission Bay to Lake Shasta and many lakes, rivers, and streams in between.",May support rural community goals related to infrastructure and recreation. Confirm current eligibility and project fit with the program.
RERC-FND-0061,Funding,Office of Grants and Local Services,California Department of Parks and Recreation,Recurring,2026-06-09,California,varies by grant,Mixed,Recreation,Grant,varies by grant,varies by grant,Check with the program,"Offers potential funding related to recreation. Check current program information for eligible applicants, activities, and timing.",May support rural community goals related to recreation. Confirm current eligibility and project fit with the program.
RERC-FND-0058,Funding,Incentives and Grants for Historic Preservation,California Office of Historic Preservation,Recurring,2026-06-09,California,varies by grant,Mixed,Historic/Cultural,Rebate,varies by grant,varies by grant,Check with the program,Lists grants and incentives that may help preserve eligible historic and cultural properties in California.,May help rural communities protect historic buildings and cultural places that support local identity and heritage tourism. Confirm current eligibility and project fit with the program.
RERC-FND-0066,Funding,State Coastal Conservancy Grants,California State Coastal Conservancy,Recurring,2026-06-09,California,Public agencies; tribes; nonprofits; eligible coastal partners,Mixed,coastal access; trails; habitat; waterfronts; climate resilience,Grant,Varies,Varies,Rolling board cycles; verify current solicitation,"Supports coastal trail towns, access points, and nature-based visitor infrastructure.","Supports coastal trail towns, access points, and nature-based visitor infrastructure"
RERC-FND-0060,Funding,OHMVR Grants and Cooperative Agreements Program,California State Parks Off-Highway Motor Vehicle Recreation Division,Recurring,2026-06-09,California,Eligible agencies and organizations supporting managed OHV recreation,Mixed,OHV recreation; trails; operations; maintenance; safety; restoration,Grant,Varies,Varies by grant type,"2026 final applications due June 1, 2026; intent to award August 3, 2026","Supports managed motorized trail systems, rural visitor use, and stewardship in recreation destinations.","Supports managed motorized trail systems, rural visitor use, and stewardship in recreation destinations"
RERC-FND-0059,Funding,Land and Water Conservation Fund,California State Parks Office of Grants and Local Services,Recurring,2026-06-09,California,Local governments; tribes; state agencies,Mixed,parks; outdoor recreation; acquisition; development,Grant,Varies,50% typical LWCF match,Recurring; virtual workshops listed,Funds local parks and outdoor recreation facilities.,Funds local parks and outdoor recreation facilities
RERC-FND-0063,Funding,Recreational Trails Program,California State Parks Office of Grants and Local Services,Recurring,2026-06-09,California,Local; state; federal; nonprofit trail sponsors under RTP rules,Mixed,trails; trailheads; maintenance; motorized and nonmotorized recreation,Grant,Varies,Unsure,Next application cycle expected 2026-2027,Core source for trail networks in rural recreation areas.,Core source for trail networks in rural recreation areas
RERC-FND-0067,Funding,Statewide Park Development and Community Revitalization Program,California State Parks Office of Grants and Local Services,Recurring,2026-06-09,California,Local agencies and eligible community partners under final guide,Mixed,parks; underserved communities; recreation access; public health,Grant,$188.5M program total,Unsure,Final guide expected summer 2026; application period opens summer 2026,Can create or renovate parks that serve as visitor and resident anchors.,Can create or renovate parks that serve as visitor and resident anchors
RERC-FND-0052,Funding,Bike Program,California Transportation Commission,Recurring,2026-06-09,California,"federal, state, and local transportation agencies",Mixed,Infrastructure; Recreation,Grant,Technical Assistance,See program,Check with the program,To fully integrate bicycles into all aspects of the California transportation system and to improve safety and convenience for bicyclists on state and local facilities.,May support rural community goals related to infrastructure and recreation. Confirm current eligibility and project fit with the program.
RERC-FND-0050,Funding,Active Transportation Program,California Transportation Commission and Caltrans,Recurring,2026-06-09,California,Local agencies; regional agencies; transit agencies; tribes; nonprofits through eligible sponsors,Mixed,walking; biking; Safe Routes; trails; active transportation,Grant,Varies by cycle,Varies,Recurring ATP cycles,"Builds bike-ped links connecting downtowns, parks, trailheads, and schools.","Builds bike-ped links connecting downtowns, parks, trailheads, and schools"
RERC-FND-0062,Funding,Public Access Program,California Wildlife Conservation Board,Recurring,2026-06-09,California,"501(c)(3) nonprofit organizations, local governmental agencies, federal agencies, state agencies, and California Native American tribes",Planning,Recreation; Planning; Conservation,Grant,See program,No,Check with the program,Provides planning and implementation funds to support wildlife-oriented recreation opportunities.,May support rural community goals related to recreation and planning. Confirm current eligibility and project fit with the program.
RERC-FND-0068,Funding,Wildlife Conservation Board Grant Opportunities,California Wildlife Conservation Board,Open when checked,2026-06-09,California,"Eligible public agencies, tribes, nonprofits, and conservation partners",Mixed,habitat protection; restoration; wildlife crossings; public access,Grant,Recent 2026 approvals include $59.6 million and $80.4 million board actions; awards vary,Varies,Ongoing project portal and board-meeting award cycles,"Protects and restores landscapes and public-access assets that support wildlife viewing, trails, and rural nature tourism.","Protects and restores landscapes and public-access assets that support wildlife viewing, trails, and rural nature tourism"
RERC-FND-0064,Funding,Route to Parks Grants,Parks California,Recurring,2026-06-09,California,Community and tribal organizations,Implementation,park access; community trips; outdoor equity; tribal and community organizations,Grant,Unsure,Unsure,2026 cycle reported; verify current window,Helps underserved rural residents and partners connect to state parks and outdoor experiences.,Helps underserved rural residents and partners connect to state parks and outdoor experiences
RERC-FND-0065,Funding,Sierra Nevada Conservancy Grants,Sierra Nevada Conservancy,Recurring,2026-06-09,California,Public agencies; tribes; nonprofits; eligible regional partners,Mixed,forest health; watershed; wildfire risk; community capacity; recreation landscapes,Grant,Varies,Varies,Concept proposals for June 2026 board were due 2025-12-01; recurring consultations,"Fits rural mountain recreation communities managing forests, watersheds, and access.","Fits rural mountain recreation communities managing forests, watersheds, and access"
